ACA,actGlobeWarm,angryObama,approveObama,apprPresident,birthrightb,birthrightStr,climateDeny,climDeny,collegeaa,compromise,DeathPenalty,eduLevel,englishImp,famLeave,favorWall,feminist,fightISIS,gayAdopt,gayDiscrim,gayServices,Gender,govtPlutocrats,health,numKids,proudObama,religImport,rightTrack,roughUpProtest,RUantifeminist,RUfeminist,sensitiveOffense,spchild,spcrime,spEnvironment,spPoor,spSchool,spScience,spSocSec,spWelfare,SUMappBirthright,SUMdeportKids,trustGovt,trustPeople,violenceOK,YOB
2,2,4,1,2,1,3,1,1,1,2,1,9,1,3,1,2,3,1,2,1,2,1,2,0,1,1,2,2,4,3,3,2,3,2,3,3,3,3,1,2,6,5,2,1,1949
3,3,2,1,1,1,3,1,1,3,1,1,14,3,3,7,3,1,2,2,1,1,1,4,0,3,1,1,1,5,5,2,3,3,3,3,3,3,3,2,2,5,3,3,1,1952
1,3,3,2,2,3,1,1,1,1,1,2,13,1,3,7,2,1,1,1,2,1,1,2,2,3,2,2,1,4,4,4,3,3,3,2,3,3,3,2,7,5,3,2,1,1982
2,3,2,2,1,3,3,1,1,1,1,1,13,1,3,6,2,1,1,1,1,2,1,2,0,2,1,1,2,5,3,3,2,3,3,2,3,3,2,2,6,5,3,2,1,1962
1,1,4,1,2,3,1,3,2,1,1,1,13,1,1,1,3,3,2,2,1,1,1,2,0,1,1,2,4,1,5,4,3,3,3,3,3,2,1,1,7,6,5,2,1,1952
3,3,1,1,1,1,2,1,1,3,1,2,14,4,3,7,2,2,1,1,2,2,1,1,0,4,1,1,1,5,3,1,3,2,3,3,3,2,2,2,3,5,4,2,1,1961
1,3,2,2,1,3,1,1,1,2,1,2,10,2,3,7,2,1,1,1,2,2,1,2,4,2,1,2,1,4,3,3,3,1,3,3,3,3,2,3,7,5,3,2,1,1981
2,3,3,1,2,1,1,2,1,2,1,1,9,1,2,1,3,2,1,1,2,2,1,3,0,3,1,2,4,5,4,3,2,3,2,3,2,3,3,2,1,1,4,5,1,1951
1,1,3,1,2,1,1,2,2,3,1,1,13,1,3,1,3,3,2,2,1,1,1,3,2,1,1,2,4,5,5,4,1,3,1,1,1,3,3,1,1,2,5,2,1,1947
3,3,1,2,2,1,2,1,1,1,2,2,13,1,3,3,3,3,2,2,2,2,1,1,2,1,1,2,1,3,5,3,3,2,2,3,3,2,3,1,3,6,4,4,1,1975
2,3,3,1,2,3,3,2,1,3,2,1,9,1,3,2,3,1,1,1,1,2,1,4,0,3,1,2,3,3,3,1,1,3,2,3,2,2,3,1,6,2,3,3,1,1934
3,2,1,1,1,3,1,3,1,2,2,2,14,1,3,7,3,3,1,1,1,2,1,1,0,4,1,1,1,5,4,3,3,3,2,3,3,3,2,3,7,6,3,2,1,1961
3,2,2,2,1,3,2,2,1,1,1,2,16,1,3,7,3,2,1,1,1,1,1,3,0,3,1,2,2,5,5,2,2,3,2,2,3,3,2,2,5,5,4,4,1,1949
3,3,1,1,1,3,3,1,1,2,1,2,11,1,1,7,2,1,1,1,1,1,3,2,0,4,2,1,1,5,4,4,3,2,3,2,2,3,2,2,6,6,2,2,1,1963
1,3,2,2,2,3,1,1,2,1,1,2,14,4,3,7,1,1,1,1,2,2,1,1,1,3,2,2,1,5,1,4,3,3,3,3,3,1,3,3,7,6,4,2,1,1979
3,3,2,1,1,3,3,1,1,2,1,1,13,2,3,6,2,2,1,1,2,2,1,4,0,4,1,2,1,5,4,4,3,3,3,3,3,2,3,1,6,5,4,4,1,1956
3,3,1,2,1,3,3,1,1,1,1,1,13,3,3,7,2,3,1,1,1,1,1,3,0,3,2,2,1,4,3,3,3,3,2,3,3,3,2,3,6,6,3,2,1,1967
1,3,2,1,1,3,1,1,1,1,1,1,9,1,2,6,1,2,1,1,2,1,1,2,0,3,2,1,1,5,2,1,2,1,3,2,3,3,2,2,7,6,3,3,1,1948
1,2,4,1,2,1,3,1,2,1,1,1,10,1,2,1,2,3,2,2,1,1,1,2,0,2,1,2,3,5,5,4,2,3,2,1,2,3,2,1,2,1,5,2,1,1941
3,3,1,1,1,3,1,1,1,3,1,2,15,3,3,7,2,1,1,1,2,2,1,1,2,4,1,1,2,5,2,2,3,2,3,3,3,3,3,2,7,6,3,2,1,1975
3,2,1,1,1,1,3,3,1,3,1,1,13,1,3,6,1,1,1,1,2,2,1,1,0,5,1,1,1,5,1,4,1,3,2,3,2,3,3,2,2,5,3,4,1,1970
1,1,4,1,2,3,3,1,1,3,1,2,13,1,3,1,3,3,2,1,1,1,1,1,3,2,1,2,1,5,5,4,1,1,1,1,1,1,1,1,6,5,4,2,1,1984
1,1,5,1,2,1,1,3,2,1,1,1,11,1,1,1,3,3,2,2,1,2,1,2,0,1,1,2,4,1,4,4,3,3,1,2,2,2,1,1,1,5,5,3,1,1941
2,3,2,1,1,1,3,2,1,2,2,1,12,1,3,7,3,2,1,1,2,1,1,2,0,4,2,2,3,5,5,3,1,3,3,2,3,3,3,1,2,6,4,3,2,1987
1,2,5,1,2,3,1,1,2,1,2,1,11,1,3,1,3,3,2,1,1,1,1,1,0,1,1,2,5,2,5,4,2,3,3,2,2,3,3,1,7,5,5,4,5,1957
1,2,4,1,2,1,1,3,1,1,2,1,12,1,3,1,3,1,1,1,2,2,1,4,3,1,2,2,4,5,5,4,1,1,2,1,3,3,3,1,1,1,5,2,1,1977
1,2,3,1,2,1,1,3,1,1,2,1,6,1,1,2,3,1,2,1,1,1,1,3,0,1,2,2,5,5,5,3,2,2,2,3,3,1,3,2,1,1,4,3,1,1961
3,3,1,1,1,3,3,1,1,3,1,1,13,3,3,7,2,3,1,1,2,2,1,3,2,4,1,2,1,5,2,2,2,1,3,2,3,2,3,1,6,6,2,2,1,1964
1,2,3,1,2,1,3,1,2,1,2,1,10,1,3,2,3,3,2,1,1,2,1,1,1,1,1,2,1,4,5,3,2,3,1,1,3,3,3,1,2,5,3,3,1,1968
3,3,1,2,1,3,1,1,1,3,1,2,14,1,3,7,2,1,1,1,2,1,1,1,1,4,2,1,1,5,3,2,3,1,3,3,3,3,3,3,7,5,4,2,1,1977
1,2,4,1,2,1,3,1,1,2,2,2,14,1,3,1,3,2,2,1,1,2,1,1,0,1,1,2,3,5,5,2,1,3,3,2,3,3,3,1,2,4,3,3,1,1952
3,2,1,1,1,3,1,1,1,3,1,1,13,1,2,7,2,1,1,1,2,2,1,2,0,4,2,1,2,5,3,1,2,2,2,2,3,2,2,2,7,6,3,2,1,1944
3,3,2,1,1,3,3,1,1,2,1,2,14,3,3,6,1,1,1,1,2,2,1,2,0,4,2,2,1,5,2,1,2,3,3,3,3,3,2,3,6,6,4,2,1,1988
2,2,1,1,1,1,1,1,2,2,1,1,11,1,3,7,3,1,1,1,2,2,1,3,2,2,1,1,1,5,4,3,3,3,2,3,2,2,3,2,1,2,3,3,1,1980
1,2,4,1,2,1,1,2,2,1,2,1,11,1,3,1,3,3,1,1,2,1,1,4,2,1,1,2,3,5,5,4,3,3,3,1,3,3,3,1,1,5,5,2,1,1970
1,1,4,1,2,3,3,2,1,1,1,1,11,1,3,1,3,3,1,1,1,1,1,2,1,2,1,2,4,4,4,4,1,3,1,2,2,3,3,1,6,4,4,4,1,1961
3,3,1,1,1,3,3,1,1,2,1,2,16,2,3,7,2,2,1,1,2,2,3,1,1,4,2,1,2,5,3,2,2,2,3,3,3,3,2,2,6,5,2,2,1,1981
3,3,1,1,1,3,1,1,1,2,2,2,13,1,3,7,2,1,1,1,2,2,3,1,0,2,1,1,1,5,4,1,3,3,3,3,3,3,3,2,7,6,3,2,1,1964
1,2,1,1,1,3,3,2,1,1,1,1,11,1,3,7,2,1,2,1,2,2,1,4,0,4,2,2,1,5,3,3,3,3,2,3,2,3,3,1,6,6,5,3,1,1948
3,3,1,1,1,3,3,1,1,3,1,2,14,3,3,7,2,3,1,1,2,1,1,3,2,4,1,1,1,5,2,1,3,3,3,3,3,2,3,3,6,6,3,2,1,1959
2,3,1,1,1,3,1,1,1,3,1,2,12,3,3,7,2,2,1,1,2,1,3,4,0,4,2,1,1,5,3,2,3,1,3,3,3,3,3,3,7,6,3,2,1,1971
2,2,1,2,1,3,1,1,1,2,2,2,7,3,1,7,2,1,1,1,2,2,1,3,2,2,2,2,1,4,3,4,3,2,1,2,1,1,2,1,7,6,4,4,1,1966
3,2,1,1,1,3,1,2,1,3,1,2,14,1,3,7,3,1,1,1,2,2,3,2,0,4,1,2,3,5,3,1,3,3,3,3,3,3,3,3,7,6,2,4,1,1948
3,2,2,1,1,3,1,3,1,2,1,1,10,2,3,7,2,3,2,1,1,1,1,1,0,3,1,1,1,5,3,4,3,3,3,3,3,3,3,3,7,6,4,2,1,1956
3,3,2,2,1,3,1,1,1,2,1,2,13,1,3,7,2,1,1,1,2,2,1,2,2,2,2,2,1,5,3,1,3,2,3,3,3,2,3,3,7,6,3,2,2,1980
3,3,2,1,1,1,1,2,1,2,1,2,10,2,3,7,2,3,1,1,1,1,3,3,4,2,1,1,2,5,4,4,2,1,3,3,3,3,1,2,1,6,3,3,2,1981
1,3,1,1,2,1,2,2,1,1,2,1,9,1,3,6,3,1,1,1,2,2,1,3,3,1,1,2,3,5,5,3,1,1,3,3,3,3,3,1,3,4,4,2,1,1972
3,3,2,1,1,3,2,3,1,2,2,2,9,1,3,5,1,1,1,2,2,2,1,3,0,3,1,2,4,1,2,4,3,3,3,3,3,3,3,1,5,6,4,3,2,1938
1,1,1,1,2,3,3,2,1,2,1,1,13,1,1,2,3,2,1,1,2,1,1,4,0,1,1,2,3,3,3,3,2,3,1,2,2,3,2,1,6,5,4,2,3,1933
1,3,1,1,1,3,1,1,1,1,1,1,9,1,1,7,3,3,2,2,1,1,1,5,0,2,1,2,3,4,4,2,3,3,3,3,3,3,3,2,7,6,4,3,1,1961
3,1,2,1,2,3,1,1,2,3,2,2,13,1,3,7,1,3,1,1,1,2,1,4,0,1,1,2,4,1,1,1,3,3,3,3,3,2,3,3,7,6,3,3,5,1947
1,3,2,2,1,3,3,1,1,2,1,2,13,2,3,7,2,1,1,1,2,1,1,2,0,2,2,1,2,5,3,2,2,1,3,3,2,3,3,3,6,5,4,4,2,1985
1,2,2,1,2,3,1,2,1,3,1,1,9,2,3,1,3,3,1,1,2,2,1,3,0,2,1,2,4,4,5,3,3,3,3,3,3,3,3,3,7,6,4,4,1,1934
1,2,3,1,2,1,1,2,2,1,2,1,10,1,3,6,3,3,1,2,1,2,1,2,1,1,1,2,1,2,5,1,1,3,1,1,1,1,2,1,1,2,4,2,1,1963
3,3,1,1,1,3,1,2,1,3,2,2,12,1,3,1,2,3,2,1,2,2,1,3,1,5,1,1,3,3,1,3,3,2,3,3,3,3,3,3,7,6,4,4,3,1974
