y
0.15
0.15
0.925
0.575
0.2
0
0.15
0.275
0.85
0.925
0.55
0.075
0.925
0.925
0.2
0.925
0.55
0.8
0.5
1
0.1
0.85
0.075
0.35
0.845
0.19
0.65
0.15
0.925
0.925
0.85
0.5
0.7
0.7
0.925
0.075
0.85
0.65
0.45
0
0.5
0.55
0.725
0.775
0.915
0.61
0.8
0.83
0.79
0.1
0.925
1
0.125
0.025
0.45
0
0.15
0.75
0.925
0.3
0.85
0.075
1
0.825
0.925
0.15
0.15
0.85
0.925
0.925
0.925
0.725
0.925
0.85
0.925
0.725
0.775
0.5
0.925
0.225
0.8
0.725
0.7
0.15
0.275
0.925
0.95
0.925
0.925
0.35
0.5
0.225
0.775
0.15
0.725
0.5
0.275
0.925
0.5
0.7
0.2
0.85
0.2
0.7
0
0.2
0.85
0
0.8
0.4
0.725
0.075
0.85
0.925
0.695
0.75
0.4
0.65
0.925
0.15
0.5
0.25
0
0.425
0.3
0.7
1
0.5
0.225
0.075
0.8
0.15
0.2
0.7
0.45
0.075
0.85
0.65
1
0.625
1
0.45
0.075
0.75
0
0.8
0.15
0.4
0.075
0.73
0
0.15
1
0
0.925
0.275
0.75
0.85
0.5
0.7
0.3
0.3
0.7
0.925
0.65
0.925
0.85
0.575
0.85
0.425
0.85
0.075
0.8
0.5
0.65
1
0.55
0.775
0.15
0.85
0.925
0.075
0.925
0.625
0.35
0.7
0
0.55
0.325
0.075
0.85
0.85
0.625
0.35
0.675
1
0.2
0
0.4
0.15
0.15
0.85
0.2
0.925
0.225
0.8
0.925
0.15
0
0.425
0.35
0.85
0.675
0.2
0.3
0.15
0.85
1
0.075
0.6
0.775
0.5
0.55
0.725
0.35
1
0.7
0.65
1
0.15
0.55
0.225
0
0.925
0.8
0.6
0.25
0.2
0.125
0.2
0.15
0.075
0.35
0.15
0.325
0.15
0.15
0
0.85
0.85
0.85
0.8
0.725
0.65
0.925
0.675
0.5
0.3
0.75
0.65
0.15
0.75
0.075
0.725
0.925
0.15
0
0.725
